UID        PID  PPID  C STIME TTY          TIME CMD
cs20141+  5188     1  0  2020 ?        02:58:39 /students_home/old_students/cs20141379/java/jdk1.8.0_201/bin/java -Dproc_secondarynamenode -Xmx1000m -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,console -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop-cs20141379-secondarynamenode-uni06.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,RFA -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode
cs20171+  5443  1468  0  2020 pts/176  00:00:00 -bash
cs20171+  5483  1468  0  2020 pts/177  00:00:00 -bash
cs20171+  5831  1468  0  2020 pts/162  00:00:00 -bash
root      5880     2  0 Jan08 ?        00:00:00 [kworker/2:0H]
cs20161+  5881     1  0  2020 ?        00:02:47 tmux
cs20161+  5882  5881  0  2020 pts/156  00:00:00 -bash
cs20161+  5937  5881  0  2020 pts/157  00:00:00 -bash
cs20121+  5940     1  0  2020 ?        00:41:58 tmux new -s ta
cs20121+  5941  5940  0  2020 pts/41   00:00:01 -bash
cs20121+  6312  5940  0  2020 pts/43   00:00:01 -bash
cs20171+  6511  1468  0  2020 pts/103  00:00:00 -bash
cs20171+  6558  1468  0  2020 pts/108  00:00:00 -bash
cs20161+  6962  5881  0  2020 pts/158  00:00:00 -bash
cs20151+  7041 25048  0  2020 pts/7    00:00:00 -bash
root      7110     2  0 Jan19 ?        00:00:02 [kworker/1:2]
cs20151+  7120     1  0  2020 ?        00:00:00 ssh-agent -s
cs20151+  7147 25048  0  2020 pts/12   00:00:00 -bash
cs20171+  7155     1  0  2020 ?        00:01:18 bochs -q
pl20151+  7191  8690  0  2020 pts/18   00:00:00 -bash
cs20161+  7210  6962  0  2020 pts/158  00:00:00 vim Make.tests
root      7413     2  0 Jan12 ?        00:00:15 [kworker/3:0]
cs20151+  7490  7041  0  2020 pts/7    00:00:00 vim thread.c
cs20171+  7497  1468  0  2020 pts/120  00:00:00 -bash
cs20171+  7551  1468  0  2020 pts/155  00:00:00 -bash
pl20151+  7581  8690  0  2020 pts/49   00:00:00 -bash
cs20181+  7932     1  0  2020 ?        00:00:00 ssh -N -f -L localhost:2222:localhost:1111 dong1@10.20.12.165
cs20171+  8444  7551  0  2020 pts/155  00:00:00 vim score.py
cs20121+  8553  5940  0  2020 pts/14   00:00:00 -bash
cs20181+  8689     1  0  2020 ?        00:03:35 bochs -q
pl20151+  8690     1  0  2020 ?        00:09:03 tmux new -s pl
pl20151+  8691  8690  0  2020 pts/3    00:00:00 -bash
cs20121+  8919  5940  0  2020 pts/141  00:00:01 -bash
cs20171+  8930  1468  0  2020 pts/88   00:00:00 -bash
cs20171+  8971  1468  0  2020 pts/100  00:00:00 -bash
cse2014+  9233     1  0  2020 ?        00:31:33 /home1/cse20141430/.vscode-server/extensions/ms-vscode.cpptools-1.0.1-insiders/bin/cpptools
cse2014+  9344  9233  0  2020 ?        00:06:34 /home1/cse20141430/.vscode-server/extensions/ms-vscode.cpptools-1.0.1-insiders/bin/cpptools-srv 9233 0
root      9385     1  0  2020 ?        00:34:13 bomblab.pl
root      9394     1  0  2020 ?        00:00:02 bomblab-requestd.pl
root      9398     1  0  2020 ?        00:00:00 bomblab-resultd.pl
root      9920     1  0  2020 ?        00:01:15 /usr/lib/systemd/systemd-logind
cs20171+ 10021  1468  0  2020 pts/122  00:00:00 -bash
cs20171+ 10365  6558  0  2020 pts/108  00:00:00 vim testlist.txt
cs20181+ 10475     1  0  2020 ?        00:00:00 ssh -N -f -L localhost:2222:localhost:1111 dong1@10.20.12.165
cs20181+ 10644     1  0  2020 ?        00:00:00 ssh -N -f -L localhost:3333:localhost:1111 dong1@10.20.12.165
cs20162+ 10685     1  0  2020 ?        00:04:55 bochs -q
cs20171+ 10771  1468  0  2020 pts/124  00:00:00 -bash
cs20171+ 10814  1468  0  2020 pts/125  00:00:00 -bash
cs20121+ 10848  5940  0  2020 pts/117  00:00:02 -bash
root     11022     2  0 Jan08 ?        00:00:01 [kworker/u65:0]
cs20151+ 11106 25048  0  2020 pts/33   00:00:00 -bash
cs20171+ 11184  1468  0  2020 pts/167  00:00:00 -bash
cs20151+ 11227 25048  0  2020 pts/34   00:00:00 -bash
cs20151+ 11625 25048  0  2020 pts/36   00:00:00 -bash
cs20171+ 11729  8930  0  2020 pts/88   00:00:00 vim to_postfix.h
cs20151+ 11738 25048  0  2020 pts/66   00:00:00 -bash
cs20171+ 11868  1468  0  2020 pts/132  00:00:00 -bash
cs20171+ 11879  1468  0  2020 pts/55   00:00:00 -bash
cs20171+ 11919  1468  0  2020 pts/75   00:00:00 -bash
cs20171+ 11967 11879  0  2020 pts/55   00:00:05 vim to_postfix.h
cs20141+ 12499     1  0  2020 ?        00:07:38 tmux
cs20141+ 12500 12499  0  2020 pts/19   00:00:00 -bash
cs20141+ 12545 12499  0  2020 pts/30   00:00:00 -bash
cs20151+ 12673 25048  0  2020 pts/32   00:00:00 -bash
cs20141+ 12697     1  0  2020 ?        00:01:27 bochs -q
cs20151+ 12778 25048  0  2020 pts/38   00:00:00 -bash
